event_date,close_price_usd,market_cap_usd,volume_usd
2024-11-06 00:00:00 UTC,43.260222863655,577810524.1614467,78862816.85850778
2024-11-07 00:00:00 UTC,44.190019098985374,654076191.2652515,148081286.25111994
2024-11-08 00:00:00 UTC,46.08500763732293,668131623.3649253,119956077.2484552
2024-11-09 00:00:00 UTC,45.902840399183944,696130807.6604818,126276371.4236735
2024-11-10 00:00:00 UTC,45.55510351619276,694370246.5457294,110704992.5510361
2024-11-11 00:00:00 UTC,45.04497105845922,688773811.7872506,145765164.91814557
2024-11-12 00:00:00 UTC,42.140626139236986,679373990.3973287,148202131.09410006
2024-11-13 00:00:00 UTC,38.698494161111206,640016449.6249527,158308713.36700624
2024-11-14 00:00:00 UTC,36.9036029362161,584566958.2780071,111451425.2898815
2024-11-15 00:00:00 UTC,38.458191365099374,557235078.5511785,66954644.243845485
2024-11-16 00:00:00 UTC,44.977918923178386,581805485.1615015,60166461.6777526
2024-11-17 00:00:00 UTC,44.35970856865506,679974229.0660502,93262476.59495836
2024-11-18 00:00:00 UTC,44.81686883623476,669285111.4815553,78743585.31592913
2024-11-19 00:00:00 UTC,43.01552120399949,677935975.6405295,75871286.63393573
2024-11-20 00:00:00 UTC,41.774517868059526,646343136.4891928,109406621.28264362
2024-11-21 00:00:00 UTC,45.53659104442749,631883462.4725442,111460213.8671788
2024-11-22 00:00:00 UTC,45.76377995211602,689325663.447003,129019504.69568552
2024-11-23 00:00:00 UTC,49.003002836420826,691878903.1153831,132286326.99988458
2024-11-24 00:00:00 UTC,52.46494894156261,740859879.3842156,151941228.85243765
2024-11-25 00:00:00 UTC,47.87611082022559,792251867.0077562,163719446.76065224
2024-11-26 00:00:00 UTC,50.79812208447359,724225813.4025009,126980394.4987708
2024-11-27 00:00:00 UTC,56.20333067236351,768046025.1247197,145400895.1055865
2024-11-28 00:00:00 UTC,55.817859880067715,850596396.9330168,229043088.84766603
2024-11-29 00:00:00 UTC,54.81901812020246,843961957.6394267,123387141.90281633
2024-11-30 00:00:00 UTC,59.307629486816296,828840264.9697635,115984998.97469763
2024-12-01 00:00:00 UTC,59.97642303179275,896863538.0875742,91689406.6069088
2024-12-02 00:00:00 UTC,74.80171357409783,904807331.6161212,136897112.44463456
2024-12-03 00:00:00 UTC,73.12341625568145,1131475342.9069602,343193477.2882703
2024-12-04 00:00:00 UTC,69.67639857906545,1115136142.4128802,241314496.852758
2024-12-05 00:00:00 UTC,71.5225989086225,1054272144.0446744,177973825.84943566
2024-12-06 00:00:00 UTC,70.14919547099566,1083390507.408591,216099233.362087
2024-12-07 00:00:00 UTC,70.34500846435095,1108280582.3537822,161844581.15672734
